review_id,product_id,rating,review_date,review_data
1,1220,5,2025-10-18,"{'comment': 'Bon produit', 'language': 'fr'}"
2,2605,2,2025-11-02,"{'comment': 'Bon produit', 'language': 'fr'}"
3,2061,5,2025-10-15,"{'comment': 'Moyen', 'language': 'en'}"
4,774,5,2025-11-24,"{'comment': 'Bon produit', 'language': 'fr'}"
5,2001,2,2025-10-10,"{'comment': 'Bon produit', 'language': 'fr'}"
6,2869,2,2025-10-13,"{'comment': 'Excellent', 'language': 'fr'}"
7,1773,4,2025-09-30,"{'comment': 'Excellent', 'language': 'es'}"
8,1476,2,2025-10-01,"{'comment': 'Moyen', 'language': 'en'}"
9,530,2,2025-10-03,"{'comment': 'Bon produit', 'language': 'es'}"
10,668,1,2025-09-29,"{'comment': 'Pas satisfait', 'language': 'en'}"
11,1876,2,2025-11-25,"{'comment': 'Bon produit', 'language': 'es'}"
12,1026,2,2025-10-16,"{'comment': 'Bon produit', 'language': 'en'}"
13,1635,2,2025-11-02,"{'comment': 'Excellent', 'language': 'es'}"
14,1912,5,2025-10-18,"{'comment': 'Moyen', 'language': 'en'}"
15,213,4,2025-10-15,"{'comment': 'Excellent', 'language': 'en'}"
16,2884,4,2025-10-02,"{'comment': 'Bon produit', 'language': 'fr'}"
17,132,2,2025-10-28,"{'comment': 'Pas satisfait', 'language': 'fr'}"
18,432,2,2025-10-06,"{'comment': 'Excellent', 'language': 'fr'}"
19,1138,3,2025-11-17,"{'comment': 'Excellent', 'language': 'fr'}"
20,1150,3,2025-10-17,"{'comment': 'Pas satisfait', 'language': 'en'}"
21,1197,2,2025-10-04,"{'comment': 'Excellent', 'language': 'es'}"
22,2449,2,2025-11-05,"{'comment': 'Excellent', 'language': 'en'}"
23,1084,1,2025-11-24,"{'comment': 'Pas satisfait', 'language': 'en'}"
24,2904,1,2025-11-12,"{'comment': 'Bon produit', 'language': 'fr'}"
25,750,1,2025-11-17,"{'comment': 'Excellent', 'language': 'fr'}"
26,2944,2,2025-10-21,"{'comment': 'Pas satisfait', 'language': 'en'}"
27,831,1,2025-10-16,"{'comment': 'Excellent', 'language': 'es'}"
28,852,4,2025-11-06,"{'comment': 'Pas satisfait', 'language': 'en'}"
29,1043,1,2025-10-05,"{'comment': 'Excellent', 'language': 'en'}"
30,1093,5,2025-10-22,"{'comment': 'Pas satisfait', 'language': 'es'}"
31,857,3,2025-11-14,"{'comment': 'Pas satisfait', 'language': 'es'}"
32,1888,2,2025-11-03,"{'comment': 'Bon produit', 'language': 'en'}"
33,1360,3,2025-10-15,"{'comment': 'Moyen', 'language': 'es'}"
34,1944,5,2025-10-12,"{'comment': 'Moyen', 'language': 'fr'}"
35,1350,1,2025-11-24,"{'comment': 'Moyen', 'language': 'en'}"
36,1957,1,2025-10-24,"{'comment': 'Excellent', 'language': 'en'}"
37,85,3,2025-11-11,"{'comment': 'Moyen', 'language': 'en'}"
38,2709,2,2025-10-05,"{'comment': 'Excellent', 'language': 'es'}"
39,1572,3,2025-11-17,"{'comment': 'Bon produit', 'language': 'fr'}"
40,1048,4,2025-10-06,"{'comment': 'Moyen', 'language': 'en'}"
41,155,5,2025-11-08,"{'comment': 'Excellent', 'language': 'es'}"
42,1702,2,2025-11-05,"{'comment': 'Pas satisfait', 'language': 'fr'}"
43,174,3,2025-11-17,"{'comment': 'Pas satisfait', 'language': 'es'}"
44,417,3,2025-10-02,"{'comment': 'Bon produit', 'language': 'fr'}"
45,1323,2,2025-11-09,"{'comment': 'Excellent', 'language': 'en'}"
46,2613,5,2025-11-23,"{'comment': 'Excellent', 'language': 'fr'}"
47,1044,3,2025-11-22,"{'comment': 'Excellent', 'language': 'fr'}"
48,343,1,2025-11-07,"{'comment': 'Pas satisfait', 'language': 'fr'}"
49,1599,4,2025-11-11,"{'comment': 'Bon produit', 'language': 'en'}"
50,156,3,2025-10-25,"{'comment': 'Pas satisfait', 'language': 'fr'}"
51,894,1,2025-10-12,"{'comment': 'Moyen', 'language': 'en'}"
52,2421,4,2025-10-11,"{'comment': 'Excellent', 'language': 'fr'}"
53,15,3,2025-11-20,"{'comment': 'Bon produit', 'language': 'fr'}"
54,2486,1,2025-11-27,"{'comment': 'Pas satisfait', 'language': 'es'}"
55,2528,3,2025-11-16,"{'comment': 'Moyen', 'language': 'en'}"
56,1672,4,2025-10-05,"{'comment': 'Excellent', 'language': 'es'}"
57,2776,3,2025-11-17,"{'comment': 'Pas satisfait', 'language': 'es'}"
58,294,4,2025-10-06,"{'comment': 'Moyen', 'language': 'en'}"
59,1440,2,2025-10-13,"{'comment': 'Bon produit', 'language': 'es'}"
60,1099,1,2025-11-07,"{'comment': 'Excellent', 'language': 'es'}"
61,100,2,2025-10-01,"{'comment': 'Pas satisfait', 'language': 'en'}"
62,1406,3,2025-11-06,"{'comment': 'Bon produit', 'language': 'fr'}"
63,2706,1,2025-11-08,"{'comment': 'Pas satisfait', 'language': 'es'}"
64,2659,4,2025-11-07,"{'comment': 'Moyen', 'language': 'es'}"
65,1566,1,2025-10-30,"{'comment': 'Excellent', 'language': 'es'}"
66,1826,3,2025-11-11,"{'comment': 'Pas satisfait', 'language': 'fr'}"
67,2323,4,2025-10-24,"{'comment': 'Moyen', 'language': 'en'}"
68,885,5,2025-10-31,"{'comment': 'Moyen', 'language': 'fr'}"
69,1172,4,2025-10-09,"{'comment': 'Moyen', 'language': 'es'}"
70,2758,3,2025-10-24,"{'comment': 'Excellent', 'language': 'en'}"
71,512,3,2025-09-30,"{'comment': 'Bon produit', 'language': 'es'}"
72,64,3,2025-11-07,"{'comment': 'Pas satisfait', 'language': 'en'}"
73,1224,2,2025-10-23,"{'comment': 'Excellent', 'language': 'en'}"
74,2227,5,2025-10-20,"{'comment': 'Bon produit', 'language': 'es'}"
75,1194,2,2025-10-25,"{'comment': 'Moyen', 'language': 'fr'}"
76,2858,1,2025-09-29,"{'comment': 'Bon produit', 'language': 'es'}"
77,905,1,2025-10-22,"{'comment': 'Moyen', 'language': 'es'}"
78,2840,4,2025-10-16,"{'comment': 'Excellent', 'language': 'fr'}"
79,1277,5,2025-10-12,"{'comment': 'Bon produit', 'language': 'es'}"
80,2105,5,2025-10-13,"{'comment': 'Moyen', 'language': 'fr'}"
81,1673,5,2025-11-08,"{'comment': 'Bon produit', 'language': 'es'}"
82,1953,1,2025-10-31,"{'comment': 'Pas satisfait', 'language': 'en'}"
83,14,4,2025-11-08,"{'comment': 'Bon produit', 'language': 'fr'}"
84,1787,4,2025-10-08,"{'comment': 'Pas satisfait', 'language': 'en'}"
85,2432,1,2025-10-12,"{'comment': 'Bon produit', 'language': 'en'}"
86,150,4,2025-10-04,"{'comment': 'Pas satisfait', 'language': 'es'}"
87,2178,1,2025-10-14,"{'comment': 'Moyen', 'language': 'es'}"
88,1593,1,2025-11-08,"{'comment': 'Bon produit', 'language': 'en'}"
89,1964,1,2025-10-24,"{'comment': 'Bon produit', 'language': 'fr'}"
90,1684,5,2025-11-02,"{'comment': 'Bon produit', 'language': 'fr'}"
91,2672,2,2025-10-25,"{'comment': 'Excellent', 'language': 'fr'}"
92,2484,2,2025-11-18,"{'comment': 'Pas satisfait', 'language': 'fr'}"
93,1712,4,2025-10-04,"{'comment': 'Moyen', 'language': 'es'}"
94,2232,1,2025-10-06,"{'comment': 'Excellent', 'language': 'es'}"
95,165,4,2025-10-05,"{'comment': 'Pas satisfait', 'language': 'fr'}"
96,1910,5,2025-11-26,"{'comment': 'Bon produit', 'language': 'es'}"
97,1682,3,2025-10-31,"{'comment': 'Bon produit', 'language': 'es'}"
98,897,3,2025-10-03,"{'comment': 'Excellent', 'language': 'fr'}"
99,1735,1,2025-10-04,"{'comment': 'Moyen', 'language': 'es'}"
100,1484,3,2025-10-16,"{'comment': 'Excellent', 'language': 'es'}"
101,981,5,2025-11-03,"{'comment': 'Pas satisfait', 'language': 'en'}"
102,2116,4,2025-10-17,"{'comment': 'Pas satisfait', 'language': 'es'}"
103,333,2,2025-11-09,"{'comment': 'Pas satisfait', 'language': 'es'}"
104,1354,1,2025-10-19,"{'comment': 'Pas satisfait', 'language': 'es'}"
105,60,5,2025-11-13,"{'comment': 'Bon produit', 'language': 'en'}"
